Target Translation;English;French;German;Italian;Portuguese;Spanish
-View All-;-View All-;-Voir tout-;-Alle ansehen-;-Guarda tutto-;-Ver tudo-;-Ver todo-
Add Application;Add Application;Ajouter une application;Anwendung hinzufügen;Aggiungi applicazione;Adicionar aplicativo;Agregar aplicación
And Context:;And Context:;Et contexte:;Und Kontext:;E contesto:;E Contexto:;Y Contexto:
Application;Application;Application;Anwendung;Applicazione;Aplicação;Solicitud
Application:;Application:;Application:;Anwendung:;Applicazione:;Aplicação:;Solicitud:
Applications;Applications;Applications;Anwendungen;applicazioni;Aplicações;Aplicaciones
approver;approver;approbateur;Genehmiger;approver;aprovador;aprobador
Assign;Assign;Attribuer;Zuordnen;Assegnare;Atribuir;Asignar
Available Processes;Available Processes;Processus Disponibles;Verfügbare Prozesse;Processi disponibili;Processos Disponíveis;Procesos disponibles
Backcolor;Backcolor;Couleur de fond;Hintergrundfarbe;Colore di sfondo;Cor de fundo;Backcolor
Backcolors;Backcolors;Backcolors;Rückfarben;Backcolors;Backcolors;Backcolors
Bizagi Export Colors;Bizagi Export Colors;Bizagi Export Couleurs;Bizagi Export Farben;Bizagi Export Colors;Bizagi Export Colors;Colores de exportación de Bizagi
Bizagi XPDL File;Bizagi XPDL File;Fichier XPDL Bizagi;Bizagi XPDL Datei;File XPDL Bizagi;Arquivo Bizagi XPDL;Archivo Bizagi XPDL
Boolean Table;Boolean Table;Table booléenne;Boolesche Tabelle;Tabella booleana;Tabela Booleana;Tabla Booleana
Can Unassign:;Can Unassign:;Peut désassigner:;Kann die Zuweisung aufheben:;Impossibile annullare l'assegnazione:;Não é possível atribuir:;Puede anular la asignación:
Category Name;Category Name;Nom de catégorie;Kategoriename;Nome della categoria;Nome da Categoria;nombre de la categoría
Change Password;Change Password;Changer le mot de passe;Passwort ändern;Cambia la password;Mudar senha;Cambia la contraseña
Close;Close;Fermer;Schließen;Vicino;Fechar;Cerca
Close & Send Form;Close & Send Form;Formulaire de fermeture et d'envoi;Formular schließen und senden;Chiudi e invia modulo;Fechar e Enviar Formulário;Cerrar y enviar formulario
Close and Send;Close and Send;Fermer et envoyer;Schließen und senden;Chiudi e invia;Fechar e enviar;Cerrar y enviar
Close, Send & Select Users;Close, Send & Select Users;Fermer, envoyer et sélectionner des utilisateurs;Schließen, Senden und Auswählen von Benutzern;Chiudi, invia e seleziona utenti;Fechar, enviar e selecionar usuários;Cerrar, enviar y seleccionar usuarios
Close, Send & Take Next Forms;Close, Send & Take Next Forms;Fermer, envoyer et prendre les formulaires suivants;Schließen, Senden und Nehme die nächsten Formulare;Chiudi, invia e accetta moduli successivi;Fechar, enviar e receber próximos formulários;Cerrar, enviar y tomar las siguientes formas
Close, Send and Take;Close, Send and Take;Fermer, envoyer et prendre;Schließen, Senden und Nehmen;Chiudi, Invia e Prendi;Fechar, enviar e receber;Cerrar, Enviar y Tomar
Collapse;Collapse;Effondrer;Zusammenbruch;Crollo;Colapso;Colapso
Color Options;Color Options;Options de couleur;Farboptionen;Opzioni di colore;Opções de cor;Opciones de color
Configuration;Configuration;Configuration;Aufbau;Configurazione;Configuração;Configuración
Confirm;Confirm;Confirmer;Bestätigen;Confermare;confirme;Confirmar
Create New Process;Create New Process;Créer un nouveau processus;Erstellen Sie einen neuen Prozess;Crea un nuovo processo;Criar novo processo;Crear nuevo proceso
Create Task;Create Task;Créer une tâche;Aufgabe erstellen;Crea attività;Criar tarefa;Crear tarea
Created Time:;Created Time:;Temps créé:;Erstellte Zeit:;Tempo creato:;Tempo criado:;Hora creada:
Creation Date:;Creation Date:;Date de création:;Erstellungsdatum:;Data di creazione:;Data de criação:;Fecha de creación:
Creation Time;Creation Time;Temps de creation;Erschaffungszeit;Tempo di creazione;Hora da criação;Tiempo de creación
Current Forms:;Current Forms:;Formulaires actuels:;Aktuelle Formulare:;Moduli attuali:;Formulários atuais:;Formularios actuales:
Current Password;Current Password;Mot de passe actuel;Aktuelles Passwort;Password attuale;senha atual;contraseña actual
Current Processes;Current Processes;Processus actuels;Aktuelle Prozesse;Processi correnti;Processos Atuais;Procesos actuales
data-entry;data-entry;la saisie des données;Dateneingabe;inserimento dati;entrada de dados;entrada de datos
