Target Translation;English;French;German;Italian;Portuguese;Spanish
 | Number of Tasks: ; | Number of Tasks: ;| Nombre de tâches:;Aufrechtzuerhalten Anzahl der Aufgaben:;| Numero di attività:;| Número de tarefas:;| Número de tareas:
 | Number of Users: ; | Number of Users: ; | Nombre d'utilisateurs:; Aufrechtzuerhalten Anzahl der Nutzer:; | Numero di utenti:; | Número de usuários:; | Número de usuarios:
 | Total Process Definitions: ; | Total Process Definitions: ; | Total des définitions de processus:; Aufrechtzuerhalten Gesamtprozessdefinitionen:; | Totale Definizioni di processo:; | Total de Definições de Processo:; | Definiciones de Procesos Totales:
 | Total Process Instances: ; | Total Process Instances: ; | Nombre total d'instances de processus:; Aufrechtzuerhalten Gesamte Prozessinstanzen:; | Totale istanze di processo:; | Total de instâncias do processo:; | Total de instancias de proceso:
 | Unassigned Tasks: ; | Unassigned Tasks: ; | Tâches non assignées:; Aufrechtzuerhalten Nicht zugewiesene Aufgaben:; | Compiti non assegnati:; | Tarefas não atribuídas:; | Tareas no asignadas:
 Average Time per Tasks: ; Average Time per Tasks: ; Temps moyen par tâche:; Durchschnittliche Zeit pro Aufgaben:; Tempo medio per le attività:; Tempo médio por tarefas:; Tiempo medio por tareas:
 Current Tasks: ; Current Tasks: ; Tâches actuelles:; Aktuelle Aufgaben:; Attività correnti:; Tarefas atuais:; Tareas actuales:
 minutes; minutes; minutes; Protokoll; minuti; minutos; minutos
 Number of Tasks: ; Number of Tasks: ; Nombre de tâches:; Anzahl der Aufgaben:; Numero di attività:; Número de tarefas:; Número de tareas:
 Total Process Instances: ; Total Process Instances: ; Nombre total d'instances de processus:; Gesamte Prozessinstanzen:; Totale istanze di processo:; Total de instâncias do processo:; Total de instancias de proceso:
-View All-;-View All-;-Voir tout-;-Alles anzeigen-;-Guarda tutto-;-Ver tudo-;-Ver todo-
2. Import Configuration;2. Import Configuration;2. Importation de la configuration;2. Importieren Sie die Konfiguration;2. Importa configurazione;2. Importar Configuração;2. Configuración de importación
3. Apply Configuration;3. Apply Configuration;3. Appliquer la configuration;3. Konfiguration übernehmen;3. Applica configurazione;3. Aplicar Configuração;3. Aplicar Configuración
Add New Import Process Form;Add New Import Process Form;Ajouter un nouveau formulaire de processus d'importation;Neues Import-Prozess-Formular hinzufügen;Aggiungi nuovo Importa modulo Process;Adicionar novo formulário de processo de importação;Añadir nuevo formulario de proceso de importación
Add Role to User;Add Role to User;Ajouter un rôle à l'utilisateur;Rolle zu Benutzer hinzufügen;Aggiungere ruolo di utente;Adicionar função ao usuário;Añadir función al usuario
Add Translation;Add Translation;Ajouter une traduction;Übersetzung hinzufügen;aggiungi traduzione;Adicionar tradução;Añadir traducción
Add User to Rol;Add User to Rol;Ajouter un utilisateur à Rol;Benutzer zu Rol hinzufügen;Aggiungi utente a Rol;Adicionar usuário a Rol;Añadir usuario a Rol
Admin;Admin;Admin;Administrator;Admin;Admin;administración
Admin?;Admin?;Admin?;Administrator?;Admin?;Admin?;¿Administración?
All;All;Tout;Alle;Tutti;Todos;Todas
Application;Application;Application;Anwendung;Applicazione;Aplicação;Solicitud
Application Name;Application Name;Nom de l'application;Anwendungsname;Nome dell'applicazione;Nome da Aplicação;Nombre de la aplicación
Application Report;Application Report;Rapport d'application;Anwendungsbericht;report Application;Relatório de Aplicação;Informe de solicitud
Application:;Application:;Application:;Anwendung:;Applicazione:;Aplicação:;Solicitud:
Applications;Applications;Applications;Anwendungen;applicazioni;Aplicações;Aplicaciones
Applications Charts;Applications Charts;Applications graphiques;Anwendungsdiagramme;Applicazioni Grafici;Gráficos de Aplicações;Gráficos de aplicaciones
Assign and Close;Assign and Close;Affecter et fermer;Zuweisen und schließen;Assegnare e chiudi;Atribuir e fechar;Asignar y Cerrar
Assigned Date;Assigned Date;Date d'affectation;Zugewiesenes Datum;assegnato Data;Data atribuída;Fecha asignada
Assigned Users;Assigned Users;Utilisateurs affectés;Zugeordnete Benutzer;Gli utenti assegnati;Usuários Atribuídos;Usuarios asignados
Available Form Applications;Available Form Applications;Formulaires disponibles;Verfügbare Formularanwendungen;Applicazioni modulo disponibile;Formulários disponíveis;Aplicaciones de forma disponibles
Available Orbeon Applications;Available Orbeon Applications;Applications Orbeon disponibles;Verfügbare Orbeon Anwendungen;Disponibili Applicazioni Orbeon;Aplicações Orbeon disponíveis;Aplicaciones Orbeon disponibles
Available Orbeon Forms;Available Orbeon Forms;Formules Orbeon disponibles;Verfügbare Orbeon Forms;Forme Orbeon disponibili;Disponível Orbeon Forms;Formularios Orbeon Disponibles
Average Time per Task;Average Time per Task;Temps moyen par tâche;Durchschnittliche Zeit pro Aufgabe;Tempo medio per operazione;Tempo médio por tarefa;Promedio de tiempo por tarea
Backcolor;Backcolor;Couleur de fond;Hintergrundfarbe;Colore di sfondo;Cor de fundo;Color de fondo
Backcolors;Backcolors;Retour;Rückseiten;Backcolors;Backcolors;Backcolors
Backoffice;Backoffice;Backoffice;Backoffice;backoffice;Backoffice;Backoffice
Bar Chart;Bar Chart;Diagramme à bandes;Balkendiagramm;Grafico a barre;Gráfico de barras;Gráfico de barras
