Target Translation;English;French;German;Italian;Portuguese;Spanish
Average Time per Tasks: ;Average Time per Tasks: ;Temps moyen par tâche:;Durchschnittliche Zeit pro Aufgaben:;Tempo medio per le attività:;Tempo médio por tarefas:;Tiempo medio por tareas:
 minutes; minutes; minutes; Protokoll; minuti; minutos; minutos
 Number of Tasks: ; Number of Tasks: ; Nombre de tâches:; Anzahl der Aufgaben:; Numero di attività:; Número de tarefas:; Número de tareas:
 Possible Tasks Defintions per Role: ; Possible Tasks Defintions per Role: ; Tâches possibles Définitions par rôle:; Mögliche Aufgaben Definitionen pro Rolle:; Possibili Attività defintions per ruolo:; Tarefas possíveis Definições por função:; Posibles tareas Definiciones por rol:
-View All-;-View All-;-Voir tout-;-Alles anzeigen-;-Guarda tutto-;-Ver tudo-;-Ver todo-
Add Application;Add Application;Ajouter une application;Anwendung hinzufügen;Aggiungi applicazione;Adicionar aplicativo;Añadir aplicación
And Context:;And Context:;Et Contexte:;Und Kontext:;E CONTESTO:;E Contexto:;Y Contexto:
Application;Application;Application;Anwendung;Applicazione;Aplicação;Solicitud
Application:;Application:;Application:;Anwendung:;Applicazione:;Aplicação:;Solicitud:
Applications;Applications;Applications;Anwendungen;applicazioni;Aplicações;Aplicaciones
Assigned Date:;Assigned Date:;Date d'affectation:;Zugewiesenes Datum:;Assegnato Data:;Data atribuída:;Fecha asignada:
Available Processes;Available Processes;Processus disponibles;Verfügbare Prozesse;Processi disponibili;Processos disponíveis;Procesos disponibles
Average Time per Task;Average Time per Task;Temps moyen par tâche;Durchschnittliche Zeit pro Aufgabe;Tempo medio per operazione;Tempo médio por tarefa;Promedio de tiempo por tarea
Backcolor;Backcolor;Couleur de fond;Hintergrundfarbe;Colore di sfondo;Cor de fundo;Color de fondo
Backcolors;Backcolors;Retour;Rückseiten;Backcolors;Backcolors;Backcolors
Bar Chart;Bar Chart;Diagramme à bandes;Balkendiagramm;Grafico a barre;Gráfico de barras;Gráfico de barras
Bizagi Export Colors;Bizagi Export Colors;Couleurs d'exportation de Bizagi;Bizagi-Export-Farben;BizAgi Export Colori;Cores de exportação do Bizagi;Bizagi Exportar Colores
Boolean Table;Boolean Table;Tableau booléen;Boolesche Tabelle;Tabella booleano;Tabela booleana;Tabla booleana
Can Unassign:;Can Unassign:;Peut annuler l'attribution:;Kann nicht zuordnen:;Possibile annullare l'assegnazione:;Pode cancelar a atribuição:;Puede cancelar la asignación:
Category Name;Category Name;Nom de catégorie;Kategoriename;Nome della categoria;Nome da Categoria;nombre de la categoría
Change Password;Change Password;Changer le mot de passe;Passwort ändern;Cambia la password;Mudar senha;Cambia la contraseña
Chart Saved !;Chart Saved !;Graphique sauvegardé!;Chart gespeichert!;Grafico salvato!;Gráfico Salvo!;¡Cuadro guardado!
Chart Type;Chart Type;Type de graphique;Diagrammtyp;Tipo di grafico;Tipo de Gráfico;Tipo de gráfico
Charts;Charts;Graphiques;Diagramme;Grafici;Gráficos;Gráficos
check-basic-data;check-basic-data;Check-basic-data;Check-Grunddaten;check-base-dati;Check-basic-data;Check-basic-data
citizen-appliance;citizen-appliance;Citoyen-appareil;Bürger-Gerät;cittadino-appliance;Aparelho de cidadania;Electrodoméstico
Close;Close;Fermer;Schließen;Vicino;Fechar;Cerca
Close & Send Form;Close & Send Form;Fermer et envoyer le formulaire;Schließen & Senden Form;Close & Invia modulo;Fechar e enviar formulário;Cerrar y Enviar Formulario
Close, Send & Select Users;Close, Send & Select Users;Fermer, Envoyer & Sélectionner Utilisateurs;Schließen, senden & wählen Sie Benutzer;Close, Invia & Seleziona utenti;Fechar, Enviar e Selecionar Usuários;Cerrar, Enviar y Seleccionar Usuarios
Close, Send & Take Next Forms;Close, Send & Take Next Forms;Fermer, envoyer et prendre les formulaires suivants;Schließen, Senden & Take Next Forms;Chiudere, Invia e assumono forme Avanti;Fechar, enviar e receber os formulários seguintes;Cerrar, enviar y tomar los formularios siguientes
Collapse;Collapse;Effondrement;Zusammenbruch;Crollo;Colapso;Colapso
Color;Color;Couleur;Farbe;Colore;Cor;Color
Color Options;Color Options;Options de couleurs;Farboptionen;Opzioni colore;Opções de cores;Opciones de color
Condition Block;Condition Block;Condition Block;Zustand Block;Condizione Block;Bloco de condição;Bloque de Condición
Confirm;Confirm;Confirmer;Bestätigen;Confermare;Confirmar;Confirmar
Create Category;Create Category;Créer une catégorie;Kategorie erstellen;creare Categoria;Criar categoria;Crear categoría
Create New Process;Create New Process;Créer un nouveau processus;Erstellen Sie einen neuen Prozess;Crea nuovo processo;Criar Novo Processo;Crear nuevo proceso
Create Process;Create Process;Créer un processus;Erstellen Sie Prozess;creare processo;Criar processo;Proceso de creación
Create Task;Create Task;Créer une tâche;Aufgabe erstellen;Crea attività;Criar tarefa;Crear tarea
created;created;créé;Erstellt;creato;Criado;creado
Creation Date:;Creation Date:;Date de création:;Erstellungsdatum:;Data di creazione:;Data de criação:;Fecha de creación:
Creation Time;Creation Time;Heure de création;Erschaffungszeit;Ora di creazione;Tempo de Criação;Tiempo de creación
Current Forms:;Current Forms:;Formulaires courants:;Aktuelle Formulare:;Le forme attuali:;Formulários atuais:;Formularios actuales:
Current Password;Current Password;Mot de passe actuel;Aktuelles Passwort;Password attuale;senha atual;contraseña actual
Current Processes;Current Processes;Processus en cours;Aktuelle Prozesse;i processi in corso;Processos atuais;Procesos actuales
Display Orbeon Forms Embedded;Display Orbeon Forms Embedded;Affichage Orbeon Forms Embedded;Anzeigen Orbeon Forms Embedded;Visualizzare Forme Orbeon embedded;Exibir Orbeon Forms Embedded;Mostrar Orbeon Forms Embedded
Display Preferences;Display Preferences;Préférences d'affichage;Anzeigeeinstellungen;Preferenze di visualizzazione;Preferências de exibição;Preferencias de visualización
